phrase,phrasekey,is_acronym
fashion basket,fb,0
little mafia by aarika,lmba,1
rajesh silk mills,rsm,1
superdry sport,ss,0
first class,fc,0
mannequin store,ms,0
pj mask,pm,0
shoe fab,sf,0
smash get noticed,sgn,0
dugri be the one,dbto,0
feather soft elite,fse,0
mela london,ml,0
my baby excel,mbe,0
ray ban,rb,0
scarlet splendour,ss,0
studio metallurgy,sm,0
bene kleed,bk,0
blue eyes,be,0
fashion fever,ff,0
hk colors of fashion,hcof,0
hrv sports,hs,0
monjolika fashion,mf,0
real madrid,rm,0
swagg india,si,0
swapn by aanchal,sba,0
a big indian story,abis,0
anita dongre,ad,0
antonio banderas,ab,0
delta children,dc,0
ghanshyam sarode,gs,0
khumaar shuchi bhutani,ksb,0
leeza store,ls,0
om sai latest creation,oslc,0
tiny hug,th,0
bhana style,bs,0
chini c,cc,0
color cocktail,cc,0
geeta creation,gc,0
k's kids,k,0
plan toys,pt,0
sky shoppie,ss,0
bella moda,bm,0
blu mnky,bm,0
callino london,cl,0
kalakari india,ki,0
lee bonee,lb,0
little hip boutique,lhb,0
monte bianco,mb,0
moti textile,mt,0
sethi daughters,sd,0
urban fashion wear,ufw,0
ans a new story,aans,0
feather line,fl,0
kb team spirit,kts,0
see designs,sd,0
sirius toys,st,0
tee moods,tm,0
ajio plus,ap,0
calvin klein underwear,cku,0
eves beauty,eb,0
fashfun clothing,fc,0
high fame,hf,0
living scapes by pantaloons,lsbp,1
living scapes by pantaloons,lsp,1
never lose,nl,0
p n gadgil jewellers,p&gj,1
p n gadgil jewellers,pngj,1
ps pret by payal singhal,ppbps,0
skywear export,se,0
the indian garage co,tigc,1
townley girl,tg,0
b bella creation,bbc,0
dc comics,dc,0
f fungus,ff,0
fashion tadka west,ftw,0
jolie robe,jr,0
khushal k,kk,0
masculino latino,ml,0
only two feet,otf,0
skip hop,sh,0
enviously young,ey,0
inf frendz,if,0
live wire,lw,0
orange and orchid,o&o,1
orange and orchid,ono,1
zibi london,zl,0
aero jeans,aj,0
clark n palmer,cnp,1
clark n palmer,c&p,1
dragon i,di,0
fizzy goblet,fg,0
meera fab,mf,0
misfit panda,mp,0
monk jeans,mj,0
r for rabbit,rfr,0
spiritus by pantaloons,sbp,0
cavallo by linen club,cblc,0
cosa nostraa,cn,0
little kangaroos,lk,0
lucky blue,lb,0
second skin,ss,0
young forever,yf,0
alberto torresi,at,0
avaasa mix n' match,amm,1
avaasa mix n' match,amnm,1
avaasa mix n' match,avaasa,1
cca cross colors,ccc,0
jn sports,js,0
pretty loving thing,plt,0
raymond home,rh,0
toy balloon,tb,0
aero jeans womens,ajw,0
jump usa,ju,0
learning resources,lr,0
nimbal house,nh,0
unknown by ayesha,uba,0
bogg man shop,bms,0
ethnic empire,ee,0
ethnix by raymond,ebr,0
flavia creation,fc,0
genx by metro,gbm,0
nj croce,nc,0
rl rocklin men,rrm,0
suruchi sahitya,ss,0
the silhouette store,tss,1
asmitta jewellery,aj,0
ira soleil,is,0
marco ferro,mf,0
mickey and friends,mnf,1
mickey and friends,m&f,1
numero uno,nu,0
the essentials story,tes,0
anni designer,ad,0
hearst books,hb,0
jaipur vibes,jv,0
le3 ton with device,ltwd,0
mystere paris,mp,0
nebulous star,ns,0
ritu kumar,rk,0
scene stealer,ss,0
aady austin,aa,0
aks couture,ac,0
glauben posh,gp,0
ojas designs,od,0
pipa bella,pb,0
shooting star,ss,0
studio shringaar,ss,0
textile catalog,tc,0
aprique fab,af,0
aww hunnie kids wear,ahkw,0
daniel wellington,dw,0
rinaali dutt wadhwa,rdw,0
under fourteen only,ufo,1
xoxo paris,xp,0
bani women,bw,0
brave soul,bs,0
kids on board,kob,0
lee cross,lc,0
louis stitch,ls,0
mattel-fisher price,p,0
john pride,jp,0
madden girl,mg,0
may sun,ms,0
miar designs,md,0
ralph by ralph lauren,rbrl,0
rare roots,rr,0
ray j,rj,0
sg rajasahab,sr,0
under punch,up,0
born wear,bw,0
chalk by pantaloons,cbp,0
fs with fabstreet,fwf,0
llak jeans,lj,0
moov n go,mng,1
moov n go,m&g,1
bond street by red tape,bsbrt,0
cover story,cs,0
macrowoman w-series,m,0
oliver peoples,op,0
save more,sm,0
wills lifestyle,wl,0
amrutam fab,af,0
bella toes,bt,0
d to d lifestyle,dtdl,0
f fashiol.com,f,0
glam story,gs,0
jack in the box,jitb,0
nation polo club,npc,0
vintage loom,vl,0
viva n diva,v&d,1
viva n diva,vad,1
caca cina,cc,0
leading lady,ll,0
mash unlimited,mu,0
mr. kameej,k,0
the bear house,tbh,0
the eg store,tes,0
zaveri pearls,zp,0
half scale,hs,0
kami kubi,kk,0
london bee,lb,0
miss grace,mg,0
the local,tl,0
trishla india,ti,0
walk-n-style collection,c,0
zeeya luxury jewellery,zlj,1
angel in you,aiy,0
i toys,it,0
indian ink,ii,0
