row_num,word,rightword,,w_count,r_count,old_r_count,soundex,dropThese?,RtoR,Remarks,mapping_type
1916,slax,leggings,#N/A,,24525,,,,FALSE,,W2R
1917,sleep shirt,nightshirts & nighties,#N/A,,,,,1,FALSE,,W2R
1918,sleep tees,nightshirts & nighties,#N/A,,,,,,FALSE,,W2R
1919,sleep top,nightshirts & nighties,#N/A,,,,,1,FALSE,,W2R
1920,sleep tops,nightshirts & nighties,#N/A,,,,,1,FALSE,,W2R
1921,sleepars,slippers,#N/A,,12169,14926,S416,,FALSE,,W2R
,sleepar,slippers,#N/A,,12169,,,,,,W2R
,sleeper,slippers,#N/A,,12169,,,,,,W2R
,sleepers,slippers,#N/A,,12169,,,,,,W2R
1922,sleepr,slippers,#N/A,,12169,13831,S416,,FALSE,,W2R
1923,sleeprs,slippers,#N/A,,12169,13848,S416,,FALSE,,W2R
1924,sleepshirt,nightshirts & nighties,sleepshirt,39,,,,,FALSE,,W2R
1925,sleepshirt,nightshirts & nighties,sleepshirt,39,,,,1,FALSE,,W2R
1926,sleepshirt,nightshirts & nighties,#N/A,39,,,,1,FALSE,,W2R
1927,sleepsuits&nightsuit,night & lounge sets,#N/A,129,,,,,FALSE,,W2R
1928,sleeptop,nightshirts & nighties,sleeptop,,,,,,FALSE,,W2R
1929,sleeptop,nightshirts & nighties,sleeptop,,,,,1,FALSE,,R1 2 R2
1930,sleeptop,nightshirts & nighties,#N/A,,,,,1,FALSE,,R1 2 R2
1931,sleepwear,nightshirts & nighties,sleepwear,194,,,,1,FALSE,,R1 2 R2
1932,sleepwear,night & lounge wear,sleepwear,194,,,,,FALSE,,W2R
1933,sleepwear,night & lounge wear,#N/A,194,,,,1,FALSE,,R1 2 R2
1934,sleevesless,sleeveless,#N/A,5,22460,71370,S412,,FALSE,,W2R
1935,slepar,slipper,#N/A,,1039,16654,S416,,FALSE,,W2R
1936,slevesless,sleeveless,#N/A,,22460,14261,S412,,FALSE,,W2R
1937,sling bag,sling bag,#N/A,,,,,1,FALSE,"sling is a styletype in bags, currently slingbag is becoming a phrase and going to open tokens, category results are wrong",W2R
1938,slioers,slippers,#N/A,,12169,15772,S462,,FALSE,,W2R
1939,sliooers,slippers,#N/A,,12169,17273,S462,,FALSE,,W2R
1940,slip on,slip-on,slip on,,42875,,,,FALSE,,W2R
1941,slip on,slip-on,#N/A,,42875,,,1,FALSE,,W2R
1942,slip ons,slip-on,#N/A,,42875,,,,FALSE,,W2R
1943,slip-on,slip-on,#N/A,42875,42875,,,1,TRUE,,W2R
1944,slip-ons,slip-on,#N/A,13867,42875,,,1,FALSE,,W2R
1945,sliper,slippers,#N/A,,12169,,,,FALSE,,W2R
1946,slipless,sleeveless,#N/A,,22460,16772,S414,,FALSE,,W2R
1947,slipon,slip-on,#N/A,73,42875,,,1,FALSE,,W2R
1948,slipper,slippers,slipper,1039,12169,,,,FALSE,,R1 2 R2
1949,slipper,flip flops,#N/A,1039,,,,1,FALSE,,W2R
1950,slippers,slippers,slippers,12169,12169,,,,TRUE,,R2R
1951,slippers,slippers,#N/A,12169,12169,,,1,TRUE,,R2R
1952,slitted,slitted,#N/A,2,2,18061,S433,,TRUE,,R2R
1953,slivees,sleeves,#N/A,,41997,13475,S412,,FALSE,,W2R
1954,sllipars,slippers,#N/A,,12169,474,S416,,FALSE,,W2R
1955,smart,smartwatch,#N/A,33437,113,,,1,FALSE,,W2R
