p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,0.1843348890542984,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.8420235812664032,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,1.6866978406906128,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
S0TC,DIGITAL DC,Palladam,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491581229,11-2024,641402,South,1,FI02,FLOOR CARE SOLUTIONS,Forbes Wet n Dry Nxt,EUREKA Vacuum Cleaner Wet n Dry NXT,NA,NA,1.0
SC28,DIGITAL DC,Lucknow,Uttar Pradesh,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491581229,11-2024,226401,North 1,1,FI02,FLOOR CARE SOLUTIONS,Forbes Wet n Dry Nxt,EUREKA Vacuum Cleaner Wet n Dry NXT,NA,NA,1.0
SLTY,DIGITAL DC,Ahmedabad,Gujarat,FI,0.0,CANNISTER VACUM CLNR,0.3481881320476532,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491581229,11-2024,382240,West,1,FI02,FLOOR CARE SOLUTIONS,Forbes Wet n Dry Nxt,EUREKA Vacuum Cleaner Wet n Dry NXT,NA,NA,0.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,0.1843348890542984,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491581229,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,Forbes Wet n Dry Nxt,EUREKA Vacuum Cleaner Wet n Dry NXT,NA,NA,1.0
SLKO,DIGITAL DC,Howrah,West Bengal,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491581229,11-2024,711310,East,1,FI02,FLOOR CARE SOLUTIONS,Forbes Wet n Dry Nxt,EUREKA Vacuum Cleaner Wet n Dry NXT,NA,NA,0.0
SLKO,DIGITAL DC,Howrah,West Bengal,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,711310,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
R201,DIGITAL DC,Cuttack,Orissa,FI,0.0,CANNISTER VACUM CLNR,0.1843348890542984,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,754002,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
