keyword,synonyms,type
6.9inch,6.9 inch,synonym
64gb,64 gb,synonym
65inch,65 inch,synonym
6gb,6 gb,synonym
6inch,6 inch,synonym
6kg,6 kg,synonym
6tb,6 tb,synonym
7,seven,synonym
7.5kg,7.5 kg,synonym
7.9inch,7.9 inch,synonym
70inch,70 inch,synonym
75inch,75 inch,synonym
7inch,7 inch,synonym
7kg,7 kg,synonym
8.5kg,8.5 kg,synonym
8.7inch,8.7 inch,synonym
85inch,85 inch,synonym
8gb,8 gb,synonym
8inch,8 inch,synonym
8kg,8 kg,synonym
8tb,8 tb,synonym
9.5kg,9.5 kg,synonym
9.7inch,9.7 inch,synonym
9kg,9 kg,synonym
AC Adaptor,AC Adapter,synonym
Almonds,Almond,synonym
Alubukhara,plum,synonym
Amul cho,Amul chocolate,synonym
Amul milk,Milk,onewaysynonym
Anodised,Anodized,synonym
Arandi ka tel,castor oil,synonym
BISKIT,BISCUIT,synonym
BISKUT,BISCUIT,synonym
Badam,Almond,synonym
Baggry,Bagrry's,synonym
Baggrys,Bagrry's,synonym
Bagrry,Bagrry's,synonym
Bagrrys,Bagrry's,synonym
Bakarwadi,Bhakarwadi,synonym
Barf Matar,snow peas,synonym
Bhakharwadi,Bhakarwadi,synonym
Biscuits,Biscuit,synonym
Bitaruta,beetroot,synonym
Bitrut,beetroot,synonym
Blade,Cartridges,onewaysynonym
Bodywash,Body Wash,synonym
Britania,Britannia,synonym
Brittania,Britannia,synonym
Brittannia,Britannia,synonym
Bru,Bru coffee,synonym
Brush,Toothbrush,synonym
Burfi,Barfi,synonym
Canvartibal,Convertible,synonym
Canvertible,Convertible,synonym
Cassava,tapioca,synonym
Celerun,Celeron,synonym
Celiron,Celeron,synonym
Chakri Phool,Star Anise,synonym
Chapal,chappal,synonym
Chyavanprasha,Chyawanprash,synonym
Cileron,Celeron,synonym
Ciliron,Celeron,synonym
Cinnmon,Cinnamon,synonym
Colour,Color,synonym
Convartibal,Convertible,synonym
Converteble,Convertible,synonym
Convertibal,Convertible,synonym
Cunvertible,Convertible,synonym
Dalchini powder,Cinnamon Powder,synonym
Dhaniya powder,Coriander Powder,synonym
Elaichi powder,Cardamom Powder,synonym
Enktank,Inktank,synonym
Eye Liner,Eyeliner,synonym
Fragerant,Fragrant,synonym
Frypan,Fry pan,synonym
Ghoda,horse rocker,synonym
Gud,Jaggery,synonym
Gudiya,doll,synonym
HP Pav,HP Pavilion,synonym
Haldi powder,Turmeric Powder,synonym
Handwash,Hand Wash,synonym
Hari Elaichi,Green Cardamom,synonym
Hazelnut,chocolate,synonym
High-end TV,Television,synonym
Hing,Asafoetida,synonym
Ideaped,Ideapad,synonym
Idiapad,Ideapad,synonym
Inktan,Inktank,synonym
Inktenk,Inktank,synonym
Inktnk,Inktank,synonym
Insipiron,Inspiron,synonym
Insipron,Inspiron,synonym
Insperon,Inspiron,synonym
Inspirn,Inspiron,synonym
Javitri,Mace,synonym
Jeera powder,Cumin powder,synonym
Jio Dive,JioDive,synonym
Jio Phone,Jiophone,synonym
Jiophones,Jiophone,synonym
Kaala,Black,synonym
Kaarbon,Karbonn,synonym
Kacchi Haldi,turmeric fresh,synonym
Kala,Kaala,synonym
Kala Til,Black Sesame,synonym
Kali Elaichi,Black Cardamom,synonym
Kali Mirch,Black Pepper,synonym
Kali Mirch powder,Black Pepper powder,synonym
KaliMirch,Kali Mirch,synonym
Kalonji,Black Onion seeds,synonym
Kantola,Forest Bitter Goud,synonym
Karbann,Karbonn,synonym
Karbon,Karbonn,synonym
Kasuri Methi,Fenugreek leaves,synonym
Kesar,Saffron,synonym
Kheera,Cucumber,synonym
Khumb,mushroom,synonym
Khus khus,Poppy Seeds,synonym
Kiwwi,Kiwi,synonym
Knolkhol,knol khol,synonym
Kodac,Kodak,synonym
Kodec,Kodak,synonym
Kodek,Kodak,synonym
Kodk,Kodak,synonym
Kunda,jasmine,synonym
Lakdi ka mandir,wooden temple,synonym
Lal mirch powder,Chilli Powder,synonym
Lili Dungri,spring onion,synonym
Mausambi,mosambi,synonym
Meetha Paan,sweet betel,
Methi,Fenugreek,synonym
Methi dane,Fenugreek seeds,synonym
Methi powder,Fenugreek Powder,synonym
Meti,Methi,synonym
Metti,Methi,synonym
Musambi,mosambi,synonym
Museli,Muesli,synonym
Naringa,narangi,synonym
Nariyal,Coconut,synonym
Naryal,Nariyal,synonym
Neebu,Nimbu,synonym
Neembu,Nimbu,synonym
Nimbu,Lemon,synonym
Organiser,Organizer,synonym
Panasanic,Panasonic,synonym
Panasonek,Panasonic,synonym
Panasonik,Panasonic,synonym
Pappaya,Papaya,synonym
Paste,Toothpaste|paste toothpaste,synonym
Pathar ka mandir,stone temple,synonym
Pavilion,pavilion,synonym
Phalsa,Sherbet berry,synonym
Pilam,plum,synonym
Pitrut,beetroot,synonym
Rizen,Ryzen,synonym
Rujamari,rosemary,synonym
Rysen,Ryzen,synonym
