p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
S573,digitaldc,Raipur,Chattisgarh,FH,20.0,LED TV 40 TO 54,16.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,493111,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,21.0
SM1B,digitaldc,Jammu,Jammu And Kashmir,FH,0.0,LED TV 40 TO 54,3.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,180010,Jammu,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,5.0
SLTY,digitaldc,Ahmedabad,Gujarat,FH,89.0,LED TV 40 TO 54,73.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,382240,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,71.0
S0TC,digitaldc,Palladam,Tamil Nadu,FH,31.0,LED TV 40 TO 54,32.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,641402,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,40.0
Y695,digitaldc,Jammu,Jammu And Kashmir,FH,2.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,180010,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,0.0
S597,digitaldc,Guwahati,Assam,FH,35.0,LED TV 40 TO 54,32.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,781031,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,37.0
SE40,digitaldc,Hyderabad,Telangana,FH,232.0,LED TV 40 TO 54,168.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,501401,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,165.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FH,70.0,LED TV 40 TO 54,69.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,521107,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,64.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FH,53.0,LED TV 40 TO 54,39.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,226401,North 1,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,73.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FH,97.0,LED TV 40 TO 54,113.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,602105,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,135.0
R810,digitaldc,Jaipur,Rajasthan,FH,20.0,LED TV 40 TO 54,19.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,302022,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,21.0
SJ93,digitaldc,Farrukhnagar,Haryana,FH,103.0,LED TV 40 TO 54,97.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,122506,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,142.0
S0GZ,digitaldc,Sawer,Madhya Pradesh,FH,18.0,LED TV 40 TO 54,14.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,453771,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,14.0
R696,digitaldc,Bhiwandi,Maharashtra,FH,192.0,LED TV 40 TO 54,157.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,421302,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,199.0
SLGC,digitaldc,Pune,Maharashtra,FH,78.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,412216,Pune,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,0.0
S0IC,digitaldc,Hosakote,Karnataka,FH,92.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,562114,Bangalore,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,0.0
SLOR,digitaldc,Dehradun,Uttarakhand,FH,19.0,LED TV 40 TO 54,15.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,248001,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,15.0
